City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Arawa,PG,78.49,broken clouds,-6.2132,155.5367,Coastline Guest House
10,Jamestown,US,67.59,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,Mitsamiouli,KM,76.8,overcast clouds,-11.3847,43.2844,Foyer ADM
16,Sumbe,AO,71.89,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
18,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
19,Saint-Philippe,RE,70.21,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
23,Lorengau,PG,77.38,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
25,Salvador,SV,82.44,scattered clouds,13.8333,-88.9167,Chico's Ranch
30,Puerto Cabezas,NI,85.96,scattered clouds,14.0351,-83.3888,Cabaña Caribe
31,Hithadhoo,MV,80.19,light rain,-0.6,73.0833,Scoop Guest House
34,Isangel,VU,75.31,broken clouds,-19.55,169.2667,Tanna Lodge
41,North Myrtle Beach,US,86.13,few clouds,33.816,-78.68,Avista Resort
44,Hobyo,SO,77.59,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
46,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
47,Omboue,GA,76.46,broken clouds,-1.5746,9.2618,Hotel Olako
49,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
51,Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
52,Nicoya,CR,76.55,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
53,Moultrie,US,84.31,moderate rain,31.1799,-83.7891,Moultrie Inn
55,Ponta Do Sol,PT,75.83,few clouds,32.6667,-17.1,Hotel do Campo
56,Fortuna,US,69.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
58,Balkanabat,TM,80.06,clear sky,39.5108,54.3671,Nebitchi Hotel
59,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
62,Vao,NC,69.39,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
66,Hilo,US,89.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
67,Eureka,US,70.12,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
70,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
73,Rikitea,PF,73.67,clear sky,-23.1203,-134.9692,People ThankYou
74,Coahuayana,MX,87.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
75,Victoria,HK,86.32,light rain,22.2855,114.1577,Mini Hotel Central
79,Morrinhos,BR,88.84,scattered clouds,-17.7311,-49.0994,Hotel Águia
80,Jalu,LY,76.77,clear sky,29.0331,21.5482,صاحبة الفخامة
81,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
83,Mahebourg,MU,71.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Bengkulu,ID,74.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
85,Shache,CN,70.7,clear sky,38.4167,77.2406,Delong Hotel
88,Huambo,AO,69.58,light rain,-12.7761,15.7392,SiSHotel
89,Komsomolskiy,UZ,66.92,clear sky,40.4272,71.7189,Ikathouse
94,Samarai,PG,77.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
95,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
97,Kanniyakumari,IN,79.57,overcast clouds,8.0833,77.5667,Sparsa
98,Ribeira Grande,PT,71.98,clear sky,38.5167,-28.7,Quinta da Meia Eira
99,Luganville,VU,79.75,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
100,Lata,PT,67.08,scattered clouds,40.1629,-8.3327,Casa Maquia
101,Batouri,CM,70.88,few clouds,4.4333,14.3667,Hotel Hollywood
109,Dryden,CA,66.49,broken clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
110,Rwamagana,RW,67.44,overcast clouds,-1.9487,30.4347,Avega East Hostel
115,Tosham,IN,78.39,clear sky,28.8833,75.9167,Amrit home's
