City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dedza,MW,-14.3779,34.3332,63.66,42,7,1.36,clear sky
1,Ola,RU,59.5833,151.2833,49.26,78,93,5.97,overcast clouds
2,San Patricio,US,28.017,-97.5169,91.81,63,98,7.36,overcast clouds
3,Saint George,US,37.1041,-113.5841,100.87,11,1,3.0,clear sky
4,Khatanga,RU,71.9667,102.5,40.24,94,100,9.66,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,28.06,93,96,26.46,light snow
6,Punta Arenas,CL,-53.15,-70.9167,39.31,52,75,23.02,broken clouds
7,Busselton,AU,-33.65,115.3333,50.09,77,56,22.73,light rain
8,Arawa,PG,-6.2132,155.5367,78.49,82,72,3.13,broken clouds
9,Sitka,US,57.0531,-135.33,53.49,76,90,8.05,light rain
10,Jamestown,US,42.097,-79.2353,67.59,85,40,1.99,scattered clouds
11,Cruzeiro Do Sul,BR,-29.5128,-51.9853,60.98,72,25,2.91,scattered clouds
12,Myski,RU,53.709,87.8014,44.85,88,92,3.33,overcast clouds
13,Mitsamiouli,KM,-11.3847,43.2844,76.8,79,89,4.74,overcast clouds
14,Coquimbo,CL,-29.9533,-71.3436,58.73,72,0,10.36,clear sky
15,Albany,US,42.6001,-73.9662,73.45,90,100,9.98,light rain
16,Sumbe,AO,-11.2061,13.8437,71.89,88,90,3.91,light rain
17,Yellowknife,CA,62.456,-114.3525,48.72,76,90,21.85,overcast clouds
18,Vaini,TO,-21.2,-175.2,78.96,94,75,8.05,broken clouds
19,Saint-Philippe,RE,-21.3585,55.7679,70.21,82,25,7.92,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,44.47,91,97,1.19,overcast clouds
21,Clyde River,CA,70.4692,-68.5914,34.03,64,40,10.36,scattered clouds
22,Ngunguru,NZ,-35.6167,174.5,63.16,93,100,23.67,overcast clouds
23,Lorengau,PG,-2.0226,147.2712,77.38,91,100,16.33,heavy intensity rain
24,Provideniya,RU,64.3833,-173.3,39.31,70,75,8.95,broken clouds
25,Salvador,SV,13.8333,-88.9167,82.44,78,36,4.61,scattered clouds
26,Kodiak,US,57.79,-152.4072,47.5,88,100,11.97,light rain
27,Cape Town,ZA,-33.9258,18.4232,54.88,83,20,4.0,few clouds
28,Xining,CN,36.6167,101.7667,50.83,90,97,0.81,overcast clouds
29,Geraldton,AU,-28.7667,114.6,61.21,63,90,18.41,overcast clouds
30,Puerto Cabezas,NI,14.0351,-83.3888,85.96,74,40,6.91,scattered clouds
31,Hithadhoo,MV,-0.6,73.0833,80.19,81,99,15.52,light rain
32,Pevek,RU,69.7008,170.3133,30.11,75,100,11.74,overcast clouds
33,Zabol,AF,32.25,67.25,67.73,14,0,9.15,clear sky
34,Isangel,VU,-19.55,169.2667,75.31,94,75,0.0,broken clouds
35,Matagami,CA,49.7502,-77.6328,57.31,82,75,5.75,broken clouds
36,Mollendo,PE,-17.0231,-72.0147,61.63,80,96,9.04,overcast clouds
37,Thompson,CA,55.7435,-97.8558,60.96,67,90,3.44,overcast clouds
38,Aqtobe,KZ,50.2797,57.2072,59.09,55,0,11.18,clear sky
39,East London,ZA,-33.0153,27.9116,60.31,61,74,12.57,broken clouds
40,Pingliang,CN,35.5392,106.6861,59.49,83,99,4.21,overcast clouds
41,North Myrtle Beach,US,33.816,-78.68,86.13,78,20,4.0,few clouds
42,Vrangel,RU,42.7297,133.0839,61.5,82,100,6.76,overcast clouds
43,New Norfolk,AU,-42.7826,147.0587,40.71,83,7,2.51,clear sky
44,Hobyo,SO,5.3505,48.5268,77.59,88,81,25.52,broken clouds
45,Saskylakh,RU,71.9167,114.0833,42.84,96,100,19.66,moderate rain
46,Grand Gaube,MU,-20.0064,57.6608,72.0,83,7,3.0,clear sky
47,Omboue,GA,-1.5746,9.2618,76.46,86,75,6.64,broken clouds
48,Angoram,PG,-4.0625,144.0661,73.67,99,99,1.74,overcast clouds
49,Kapaa,US,22.0752,-159.319,82.72,67,40,7.0,light rain
50,Avarua,CK,-21.2078,-159.775,78.85,73,75,16.11,broken clouds
51,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,75,8.05,broken clouds
52,Nicoya,CR,10.1483,-85.452,76.55,85,82,4.99,broken clouds
53,Moultrie,US,31.1799,-83.7891,84.31,94,90,5.75,moderate rain
54,Vardo,NO,70.3705,31.1107,34.0,61,92,3.74,overcast clouds
55,Ponta Do Sol,PT,32.6667,-17.1,75.83,70,17,4.63,few clouds
56,Fortuna,US,40.5982,-124.1573,69.85,76,20,3.0,few clouds
57,Rumoi,JP,43.9344,141.6428,50.45,77,3,6.78,clear sky
58,Balkanabat,TM,39.5108,54.3671,80.06,51,0,3.87,clear sky
59,Carnarvon,AU,-24.8667,113.6333,66.27,77,0,10.36,clear sky
60,Tasiilaq,GL,65.6145,-37.6368,39.36,99,100,7.52,moderate rain
61,Port Elizabeth,ZA,-33.918,25.5701,55.69,82,40,16.11,scattered clouds
62,Vao,NC,-22.6667,167.4833,69.39,61,71,24.23,broken clouds
63,Altay,CN,47.8667,88.1167,55.9,12,44,6.71,scattered clouds
64,Barrow,US,71.2906,-156.7887,37.42,87,90,6.91,light rain
65,Hermanus,ZA,-34.4187,19.2345,51.91,80,2,4.61,clear sky
66,Hilo,US,19.7297,-155.09,89.28,71,1,9.22,clear sky
67,Eureka,US,40.8021,-124.1637,70.12,73,36,5.99,scattered clouds
68,Asau,RO,46.4333,26.4,63.75,98,52,3.58,broken clouds
69,Kimberley,ZA,-28.7323,24.7623,49.69,22,0,3.44,clear sky
70,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,24,0,25.32,clear sky
71,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,62,75,8.05,broken clouds
72,Suda,RU,59.1525,37.5582,40.89,92,98,7.36,overcast clouds
73,Rikitea,PF,-23.1203,-134.9692,73.67,66,0,15.84,clear sky
74,Coahuayana,MX,18.7333,-103.6833,87.28,72,56,6.11,broken clouds
75,Victoria,HK,22.2855,114.1577,86.32,82,100,1.01,light rain
76,Araouane,ML,18.9048,-3.5265,90.57,38,77,22.91,broken clouds
77,Hobart,AU,-42.8794,147.3294,41.05,92,20,1.01,few clouds
